,u_down,u_up,u_average
transfer_curve_AL_1_36L_1,0.0014095127292698675,0.0020863712356403046,0.001747941982455086
transfer_curve_AL_1_36L_2,0.001044353982091484,0.0016195865813327696,0.0013319702817121267
transfer_curve_AL_1_36L_3,0.0011672349796522819,0.0017365751346408434,0.0014519050571465625
transfer_curve_AL_1_36L_4,0.0015493119201495241,0.0021617571884531878,0.001855534554301356
Average,0.0012926034027907892,0.0019010725350167763,0.001596837968903783
