,u_down,u_up,u_average
AL_1_33C_1D_1,0.04555822762324533,0.09323768800052108,0.06939795781188321
AL_1_33C_1D_2,0.068672798448214,0.09824909467012857,0.08346094655917129
Average,0.05711551303572966,0.09574339133532483,0.07642945218552724
Std,0.016344469774552076,0.0035435996393629486,0.011825793643881572
