,u_down,u_up,u_average,id_on,id_off,id_on_off,vthreshold
AL_1_33C_1D_1,0.09323768800052108,0.04713611077502151,0.0701868993877713,-1.616794179426506e-05,-2.106030683179938e-09,7676.973523411711,-22.01593195053948
AL_1_33C_1D_2,0.09824909467012857,0.06971704432068128,0.08398306949540493,-1.6862280972418375e-05,8.115293159693948e-11,-207784.00287703596,-31.432974951237952
Average,0.09574339133532483,0.0584265775478514,0.07708498444158812,-1.651511138334172e-05,-1.0124388757914993e-09,-100053.51467681213,-26.724453450888717
Std,0.0035435996393629486,0.015967131235658814,0.011565171384394711,4.909719413157024e-07,1.5465723657088355e-09,152353.91749383122,6.658854964519205
