,0
PS-6.1K,0.003941150586389638
Water + O${_2}$,0.00263345831101589
Water + no O${_2}$,0.02337789598936096
no Water + O${_2}$,0.05510739624842064
no Water + no O${_2}$,0.04376414405103441
