,0
PS-10K,0.006806385270786407
Entry 22 (control),0.0065865821911363425
Entry 23,0.2847073730894116
Entry 24,0.1593027136658879
Entry 25,0.1312347380382486
Entry 26,0.10618446040789364
Entry 27,0.0871879671997463
Entry 28,0.05164989721951747
