	vg	id_down	id_up	vd
0	-60	-1.562779e-07	-1.473905e-07	-60.0
1	-59	-1.472635e-07	-1.341824e-07	-60.0
2	-58	-1.374904e-07	-1.224818e-07	-60.0
3	-57	-1.291322e-07	-1.115061e-07	-60.0
4	-56	-1.207622e-07	-1.012294e-07	-60.0
5	-55	-1.120432e-07	-9.106122e-08	-60.0
6	-54	-1.038755e-07	-8.266549e-08	-60.0
7	-53	-9.576087e-08	-7.429257e-08	-60.0
8	-52	-8.787369e-08	-6.673967e-08	-60.0
9	-51	-8.031624e-08	-6.005504e-08	-60.0
10	-50	-7.314058e-08	-5.339466e-08	-60.0
11	-49	-6.60975e-08	-4.767861e-08	-60.0
12	-48	-5.912842e-08	-4.175288e-08	-60.0
13	-47	-5.320581e-08	-3.755233e-08	-60.0
14	-46	-4.677708e-08	-3.274693e-08	-60.0
15	-45	-4.181873e-08	-2.793222e-08	-60.0
16	-44	-3.877131e-08	-2.442053e-08	-60.0
17	-43	-3.606347e-08	-2.160028e-08	-60.0
18	-42	-3.191025e-08	-1.763514e-08	-60.0
19	-41	-2.810184e-08	-1.526401e-08	-60.0
20	-40	-2.472805e-08	-1.270484e-08	-60.0
21	-39	-2.114432e-08	-1.06868e-08	-60.0
22	-38	-1.790241e-08	-8.356596e-09	-60.0
23	-37	-1.53314e-08	-7.010552e-09	-60.0
24	-36	-1.245246e-08	-5.520206e-09	-60.0
25	-35	-1.028868e-08	-4.28846e-09	-60.0
26	-34	-7.589351e-09	-3.239927e-09	-60.0
27	-33	-5.705517e-09	-2.611341e-09	-60.0
28	-32	-3.70736e-09	-2.177632e-09	-60.0
29	-31	-2.639288e-09	-2.244186e-09	-60.0
30	-30	-1.860746e-09	-1.336967e-09	-60.0
31	-29	-1.255139e-09	-1.438414e-09	-60.0
32	-28	-9.842606e-10	-1.273552e-09	-60.0
33	-27	-8.232916e-10	-1.226554e-09	-60.0
34	-26	-4.68605e-10	-7.533477e-10	-60.0
35	-25	-4.967536e-10	-1.108186e-09	-60.0
36	-24	-2.216489e-10	-6.452687e-10	-60.0
37	-23	-6.128788e-11	-4.155642e-10	-60.0
38	-22	-1.401978e-10	-3.001178e-10	-60.0
39	-21	-3.487263e-10	-9.302261e-11	-60.0
40	-20	-1.74184e-10	6.800949e-11	-60.0
41	-19	1.092569e-10	-7.010472e-10	-60.0
42	-18	1.662046e-10	-1.210547e-10	-60.0
43	-17	1.034471e-12	1.47624e-10	-60.0
44	-16	9.36769e-10	-2.487132e-10	-60.0
45	-15	2.327862e-10	-4.424787e-10	-60.0
46	-14	-1.251439e-12	-3.381348e-10	-60.0
47	-13	8.703399e-12	-3.31558e-10	-60.0
48	-12	-8.300697e-11	-1.156112e-11	-60.0
49	-11	-1.583764e-10	-1.250005e-10	-60.0
50	-10	-3.76109e-11	-1.435545e-10	-60.0
51	-9	-2.408033e-10	3.279081e-12	-60.0
52	-8	-2.525335e-10	-2.414524e-10	-60.0
53	-7	-5.02713e-10	-1.934298e-09	-60.0
54	-6	-2.337481e-10	-4.556251e-09	-60.0
55	-5	-6.217527e-10	-5.490009e-09	-60.0
56	-4	-5.870743e-10	-5.327176e-09	-60.0
57	-3	-9.397459e-10	-5.325603e-09	-60.0
58	-2	-1.303884e-09	-5.172552e-09	-60.0
59	-1	-1.733398e-09	-5.35515e-10	-60.0
60	0	-2.083703e-09	-3.730141e-10	-60.0
61	1	-3.49028e-09	-3.126266e-10	-60.0
62	2	-4.1707e-09	-5.47697e-10	-60.0
63	3	-6.162528e-09	-5.384586e-10	-60.0
64	4	-1.159489e-08	-9.532266e-10	-60.0
