	vg	id_down	id_up	vd
0	-60	-2.06525e-07	-1.924631e-07	-60.0
1	-59	-1.974527e-07	-1.756165e-07	-60.0
2	-58	-1.857419e-07	-1.593693e-07	-60.0
3	-57	-1.741363e-07	-1.442847e-07	-60.0
4	-56	-1.625511e-07	-1.306117e-07	-60.0
5	-55	-1.514089e-07	-1.181705e-07	-60.0
6	-54	-1.407387e-07	-1.066684e-07	-60.0
7	-53	-1.305081e-07	-9.590639e-08	-60.0
8	-52	-1.203637e-07	-8.650607e-08	-60.0
9	-51	-1.107055e-07	-7.72411e-08	-60.0
10	-50	-1.012444e-07	-6.898079e-08	-60.0
11	-49	-9.215283e-08	-6.120459e-08	-60.0
12	-48	-8.369632e-08	-5.414109e-08	-60.0
13	-47	-7.523133e-08	-4.789503e-08	-60.0
14	-46	-6.686902e-08	-4.219235e-08	-60.0
15	-45	-5.934454e-08	-3.682193e-08	-60.0
16	-44	-5.250489e-08	-3.212622e-08	-60.0
17	-43	-4.85535e-08	-2.764892e-08	-60.0
18	-42	-4.427423e-08	-2.429899e-08	-60.0
19	-41	-3.881474e-08	-2.041317e-08	-60.0
20	-40	-3.415849e-08	-1.715886e-08	-60.0
21	-39	-2.991439e-08	-1.432339e-08	-60.0
22	-38	-2.620805e-08	-1.1787e-08	-60.0
23	-37	-2.246211e-08	-9.634196e-09	-60.0
24	-36	-1.881705e-08	-7.612099e-09	-60.0
25	-35	-1.577434e-08	-5.813075e-09	-60.0
26	-34	-1.288129e-08	-4.801204e-09	-60.0
27	-33	-1.003042e-08	-3.524845e-09	-60.0
28	-32	-7.761112e-09	-2.913392e-09	-60.0
29	-31	-5.583102e-09	-2.288148e-09	-60.0
30	-30	-3.900749e-09	-1.742496e-09	-60.0
31	-29	-2.496602e-09	-1.316909e-09	-60.0
32	-28	-1.714734e-09	-1.070453e-09	-60.0
33	-27	-1.083663e-09	-9.647743e-10	-60.0
34	-26	-6.792418e-10	-6.805854e-10	-60.0
35	-25	-5.244666e-10	-5.89828e-10	-60.0
36	-24	-3.120717e-10	-5.166447e-10	-60.0
37	-23	-7.54166e-11	-2.273214e-10	-60.0
38	-22	-4.421985e-11	-5.056506e-10	-60.0
39	-21	1.211571e-10	-4.325679e-10	-60.0
40	-20	3.669573e-10	-3.663002e-10	-60.0
41	-19	-8.719431e-11	-2.143621e-10	-60.0
42	-18	4.327626e-11	-2.639285e-10	-60.0
43	-17	2.863611e-10	-2.968836e-10	-60.0
44	-16	1.635324e-10	-8.412021e-11	-60.0
45	-15	-2.605833e-11	9.089752e-12	-60.0
46	-14	-1.530906e-10	-1.280563e-10	-60.0
47	-13	1.297166e-10	-8.267866e-11	-60.0
48	-12	9.228879e-11	-1.964105e-10	-60.0
49	-11	2.409392e-12	-3.990822e-10	-60.0
50	-10	3.297395e-11	-4.886607e-11	-60.0
51	-9	-1.920409e-10	-3.135179e-10	-60.0
52	-8	-8.334495e-11	-3.419016e-10	-60.0
53	-7	-1.50751e-10	-2.691563e-10	-60.0
54	-6	-2.674222e-10	-3.241706e-09	-60.0
55	-5	-6.481736e-10	-4.986754e-09	-60.0
56	-4	-5.516587e-10	-5.346365e-09	-60.0
57	-3	-6.913784e-10	-5.292616e-09	-60.0
58	-2	-1.072771e-09	-5.058931e-09	-60.0
59	-1	-1.353669e-09	-6.191687e-10	-60.0
60	0	-1.585622e-09	-4.017167e-10	-60.0
61	1	-2.351715e-09	-7.265258e-10	-60.0
62	2	-3.342254e-09	-6.018965e-10	-60.0
63	3	-5.883489e-09	-4.659375e-10	-60.0
64	4	-1.167932e-08	-7.43865e-10	-60.0
