	vg	id_down	id_up	vd
0	-60	-1.861782e-07	-1.74015e-07	-60.0
1	-59	-1.776678e-07	-1.601844e-07	-60.0
2	-58	-1.675739e-07	-1.463084e-07	-60.0
3	-57	-1.579103e-07	-1.332516e-07	-60.0
4	-56	-1.482297e-07	-1.214637e-07	-60.0
5	-55	-1.386831e-07	-1.106124e-07	-60.0
6	-54	-1.297489e-07	-1.002858e-07	-60.0
7	-53	-1.207487e-07	-9.111833e-08	-60.0
8	-52	-1.120785e-07	-8.245215e-08	-60.0
9	-51	-1.034882e-07	-7.422977e-08	-60.0
10	-50	-9.536884e-08	-6.685845e-08	-60.0
11	-49	-8.728517e-08	-6.011537e-08	-60.0
12	-48	-7.884135e-08	-5.37788e-08	-60.0
13	-47	-7.055534e-08	-4.777342e-08	-60.0
14	-46	-6.302966e-08	-4.243489e-08	-60.0
15	-45	-5.561173e-08	-3.75973e-08	-60.0
16	-44	-4.935588e-08	-3.300303e-08	-60.0
17	-43	-4.412313e-08	-2.907738e-08	-60.0
18	-42	-4.116832e-08	-2.532842e-08	-60.0
19	-41	-3.960879e-08	-2.185607e-08	-60.0
20	-40	-3.546308e-08	-1.882161e-08	-60.0
21	-39	-3.125318e-08	-1.617548e-08	-60.0
22	-38	-2.72125e-08	-1.367776e-08	-60.0
23	-37	-2.331325e-08	-1.131073e-08	-60.0
24	-36	-1.999286e-08	-9.287247e-09	-60.0
25	-35	-1.680302e-08	-7.846014e-09	-60.0
26	-34	-1.414511e-08	-6.050672e-09	-60.0
27	-33	-1.165359e-08	-4.798876e-09	-60.0
28	-32	-9.402791e-09	-3.860219e-09	-60.0
29	-31	-7.683642e-09	-2.903821e-09	-60.0
30	-30	-6.127349e-09	-2.310886e-09	-60.0
31	-29	-4.461528e-09	-1.858679e-09	-60.0
32	-28	-3.245831e-09	-1.361371e-09	-60.0
33	-27	-2.309677e-09	-9.968993e-10	-60.0
34	-26	-1.466211e-09	-8.276552e-10	-60.0
35	-25	-7.377877e-10	-7.625969e-10	-60.0
36	-24	-3.883889e-10	-4.827551e-10	-60.0
37	-23	-5.341527e-11	-4.471696e-10	-60.0
38	-22	8.569209e-11	-3.949183e-10	-60.0
39	-21	7.635512e-11	-1.603474e-10	-60.0
40	-20	5.155613e-10	-3.545511e-10	-60.0
41	-19	3.489302e-10	-3.082906e-10	-60.0
42	-18	5.439087e-10	-7.793653e-11	-60.0
43	-17	2.236344e-10	-1.300929e-10	-60.0
44	-16	2.220748e-10	-3.396788e-10	-60.0
45	-15	3.836057e-10	-1.867544e-10	-60.0
46	-14	3.963447e-10	-4.482363e-11	-60.0
47	-13	1.632821e-10	-9.764319e-11	-60.0
48	-12	5.249093e-10	-1.501586e-10	-60.0
49	-11	4.191877e-10	3.858025e-14	-60.0
50	-10	3.420135e-10	-2.86554e-10	-60.0
51	-9	1.948032e-10	-2.30073e-10	-60.0
52	-8	7.378873e-11	-1.824191e-10	-60.0
53	-7	1.344492e-10	-4.722643e-10	-60.0
54	-6	4.751574e-12	-4.08173e-09	-60.0
55	-5	-9.821181e-11	-5.133609e-09	-60.0
56	-4	-4.978112e-10	-5.260335e-09	-60.0
57	-3	-8.097287e-10	-5.309916e-09	-60.0
58	-2	-9.047324e-10	-5.345319e-09	-60.0
59	-1	-1.492445e-09	-4.735912e-10	-60.0
60	0	-2.166504e-09	-5.979339e-10	-60.0
61	1	-3.25609e-09	-7.920201e-10	-60.0
62	2	-5.246873e-09	-7.472879e-10	-60.0
63	3	-8.273775e-09	-1.037771e-09	-60.0
64	4	-1.547022e-08	-1.070317e-09	-60.0
