	vg	id_down	id_up	vd
0	-60	-1.073223e-06	-1.007499e-06	-60.0
1	-59	-1.093448e-06	-9.095607e-07	-60.0
2	-58	-1.091037e-06	-8.417916e-07	-60.0
3	-57	-1.046699e-06	-7.782218e-07	-60.0
4	-56	-1.003206e-06	-7.18127e-07	-60.0
5	-55	-8.999322e-07	-6.619624e-07	-60.0
6	-54	-8.5562e-07		-6.098815e-07	-60.0
7	-53	-8.12079e-07	-5.61026e-07	-60.0
8	-52	-7.690232e-07	-5.141684e-07	-60.0
9	-51	-7.261513e-07	-4.707587e-07	-60.0
10	-50	-6.839932e-07	-4.300251e-07	-60.0
11	-49	-6.423935e-07	-3.926244e-07	-60.0
12	-48	-6.023286e-07	-3.565451e-07	-60.0
13	-47	-5.631435e-07	-3.2346e-07		-60.0
14	-46	-5.253623e-07	-2.922841e-07	-60.0
15	-45	-4.909214e-07	-2.647602e-07	-60.0
16	-44	-4.558589e-07	-2.388606e-07	-60.0
17	-43	-4.217508e-07	-2.154679e-07	-60.0
18	-42	-3.88788e-07	-1.938945e-07	-60.0
19	-41	-3.576619e-07	-1.747629e-07	-60.0
20	-40	-3.277703e-07	-1.574709e-07	-60.0
21	-39	-2.994753e-07	-1.425068e-07	-60.0
22	-38	-2.732313e-07	-1.29383e-07	-60.0
23	-37	-2.483077e-07	-1.173474e-07	-60.0
24	-36	-2.250852e-07	-1.080849e-07	-60.0
25	-35	-2.030967e-07	-9.887926e-08	-60.0
26	-34	-1.833214e-07	-9.140336e-08	-60.0
27	-33	-1.649556e-07	-8.607471e-08	-60.0
28	-32	-1.480836e-07	-8.052875e-08	-60.0
29	-31	-1.334913e-07	-7.716402e-08	-60.0
30	-30	-1.197158e-07	-7.394978e-08	-60.0
31	-29	-1.071377e-07	-7.202146e-08	-60.0
32	-28	-9.831496e-08	-7.058709e-08	-60.0
33	-27	-9.080244e-08	-7.118457e-08	-60.0
34	-26	-8.478145e-08	-7.148836e-08	-60.0
35	-25	-7.979987e-08	-7.035247e-08	-60.0
36	-24	-7.599767e-08	-7.003889e-08	-60.0
37	-23	-7.307212e-08	-7.004618e-08	-60.0
38	-22	-7.100954e-08	-6.986956e-08	-60.0
39	-21	-6.943757e-08	-6.978762e-08	-60.0
40	-20	-6.765298e-08	-6.972514e-08	-60.0
41	-19	-6.648029e-08	-6.94673e-08	-60.0
42	-18	-6.656104e-08	-6.919032e-08	-60.0
43	-17	-6.58051e-08	-6.884973e-08	-60.0
44	-16	-6.553159e-08	-6.941831e-08	-60.0
45	-15	-6.542967e-08	-6.916642e-08	-60.0
46	-14	-6.533474e-08	-6.987902e-08	-60.0
47	-13	-6.540732e-08	-6.950917e-08	-60.0
48	-12	-6.521468e-08	-6.933978e-08	-60.0
49	-11	-6.520291e-08	-7.012343e-08	-60.0
50	-10	-6.522937e-08	-6.973353e-08	-60.0
51	-9	-6.523513e-08	-6.984391e-08	-60.0
52	-8	-6.547074e-08	-7.003221e-08	-60.0
53	-7	-6.534723e-08	-6.966828e-08	-60.0
54	-6	-6.55739e-08	-6.975664e-08	-60.0
55	-5	-6.537869e-08	-7.078762e-08	-60.0
56	-4	-6.611182e-08	-7.018513e-08	-60.0
57	-3	-6.650716e-08	-7.068515e-08	-60.0
58	-2	-6.685765e-08	-7.101568e-08	-60.0
59	-1	-6.76921e-08	-7.099143e-08	-60.0
60	0	-6.904713e-08	-7.073852e-08	-60.0
61	1	-7.087937e-08	-7.047356e-08	-60.0
62	2	-7.401794e-08	-7.17525e-08	-60.0
63	3	-8.013848e-08	-7.107612e-08	-60.0
64	4	-9.550216e-08	-6.830992e-08	-60.0
