URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/936.smp/MSDevice.xraw
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	005c-H1F_conc
Number	6
Position	4
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:33:19 PM -05:00
Volume (µl)	3.0000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Data Points	275
Mass Min. (m/z)	150.000000
Mass Max. (m/z)	399.968075
Retention Time (min)	3.299825
Mass Resolution	0.500000
Tolerance Unit	Amu
Scan Number	236
Scan Type	+ c EI Full ms [150.00-400.00]
Is Centroid Scan	True
Base Peak Mass	207.014771
Base Peak Intensity	868,410.187500
Total Ion Count	5,712,960.542895

Raw Data:
Mass (m/z)	Value (counts)
151.0	37,898.222656
151.6	3,210.920654
152.1	5,427.953125
153.0	55,667.152344
154.2	27,718.945313
155.0	6,871.176270
155.8	11,367.319336
157.0	26,600.978516
157.7	4,257.098633
158.6	63,785.210938
159.1	238,010.421875
160.1	88,113.312500
161.0	17,174.505859
161.7	912.733154
162.5	9,153.930664
163.0	25,693.501953
163.9	20,332.386719
165.0	28,946.390625
165.9	2,448.706055
167.1	5,184.476563
167.7	2,549.898193
168.3	2,776.157959
169.1	8,953.009766
170.7	15,940.259766
171.4	10,367.673828
172.0	118,052.742188
173.0	187,746.765625
174.1	23,351.294922
175.1	4,348.588379
177.0	55,807.441406
177.9	13,738.521484
179.1	18,078.150391
180.1	6,504.184082
181.0	8,714.499023
182.0	6,405.887695
182.6	5,084.845215
183.3	8,117.217285
184.3	1,911.740845
185.1	5,196.699707
186.1	20,073.175781
187.0	54,611.050781
187.6	5,600.679199
188.3	6,405.954102
189.0	8,108.383789
189.9	1,450.276367
191.0	121,082.640625
192.1	19,086.509766
193.0	91,090.265625
194.0	16,750.042969
195.1	15,215.624023
196.1	9,340.409180
197.1	20,999.291016
198.0	9,933.804688
199.1	14,597.581055
200.0	6,537.449707
201.0	14,340.667969
201.6	951.974121
202.2	2,006.360596
203.2	3,828.639160
204.0	1,463.447510
205.1	18,399.878906
206.3	3,592.174805
207.0	868,410.187500
208.0	148,043.703125
209.0	123,568.093750
210.2	18,835.125000
211.2	11,155.716797
212.3	2,848.387695
213.2	4,060.859619
214.4	2,718.089600
215.0	4,010.661621
216.1	2,878.785645
216.9	4,039.077148
217.7	3,654.555664
218.5	329.002747
219.0	3,564.541748
219.6	76.811127
220.2	589.733337
221.1	106,902.859375
222.1	24,093.347656
223.0	12,778.868164
224.0	919.575134
224.8	1,894.557007
225.9	5,252.100586
227.0	4,575.220703
228.2	302.935242
229.0	10,349.745117
230.0	72,518.976563
230.9	5,157.767090
231.6	1,622.710693
232.6	2,567.081787
233.3	24.075506
234.0	3,626.152344
234.9	6,011.991211
235.9	2,882.035889
