URL	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	005c-H1F_conc
Number	6
Position	4
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:33:19 PM -05:00
Volume (µl)	3.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500587
Time Max. (min)	6.993328
Data Points	1322
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	3253117.066459
Signal Max.	152826177.096965
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406094

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
2.500587	n.a.	3361364.110596
2.503987	0.204	3418360.028854
2.507388	0.2041	3450136.561159
2.510790	0.2041	3477265.091007
2.514190	0.204	3551929.388148
2.517592	0.2041	3419664.059080
2.520992	0.204	3421490.597811
2.524393	0.2041	3549401.454618
2.527795	0.2041	3488705.691667
2.531195	0.204	3406011.520294
2.534597	0.2041	3442735.032856
2.537997	0.204	3507862.942415
2.541398	0.2041	3569904.630472
2.544800	0.2041	3414823.400567
2.548200	0.204	3253117.066459
2.551602	0.2041	3514662.942922
2.555002	0.204	3563375.874636
2.558403	0.2041	3502679.618951
2.561805	0.2041	3580795.656721
2.565205	0.204	3467907.302891
2.568607	0.2041	3465402.546325
2.572008	0.2041	3512822.747784
2.575408	0.204	3439659.416912
2.578810	0.2041	3329215.662916
2.582210	0.204	3368923.160008
2.585612	0.2041	3536527.700776
2.589013	0.2041	3546084.465819
2.592413	0.204	3406915.822416
2.595815	0.2041	3439674.510650
2.599215	0.204	3548543.545107
2.602617	0.2041	3550005.699985
2.606018	0.2041	3738475.425645
2.609418	0.204	3705299.901582
2.612820	0.2041	3595018.000598
2.616220	0.204	3612937.262066
2.619622	0.2041	3500434.032623
2.623023	0.2041	3512630.160489
2.626423	0.204	3642752.267561
2.629825	0.2041	3763263.029747
2.633225	0.204	3686212.333952
2.636627	0.2041	3585460.296051
2.640028	0.2041	3605619.645691
2.643428	0.204	3704496.415326
2.646830	0.2041	3617936.329303
2.650232	0.2041	3578845.139328
2.653632	0.204	3749050.149828
2.657033	0.2041	3616394.810742
2.660433	0.204	3592463.964503
2.663835	0.2041	3601446.236266
2.667237	0.2041	3588724.382535
2.670637	0.204	3704842.555671
2.674038	0.2041	3667918.563399
2.677438	0.204	3685654.748827
2.680840	0.2041	3658017.311296
2.684242	0.2041	3582949.076500
2.687642	0.204	3700651.717187
2.691043	0.2041	3718960.285677
2.694443	0.204	3628201.192746
2.697845	0.2041	3608107.986195
2.701247	0.2041	3663940.887914
2.704647	0.204	3749537.869011
2.708048	0.2041	3704964.381016
2.711450	0.2041	3672958.624201
2.714850	0.204	3676544.473916
2.718252	0.2041	3701506.923358
2.721652	0.204	3696482.329118
2.725053	0.2041	3678811.923540
2.728455	0.2041	3727248.275215
2.731855	0.204	3734289.060463
2.735257	0.2041	3702594.818076
2.738657	0.204	3743534.661226
2.742058	0.2041	3827977.713369
2.745460	0.2041	3753693.968808
2.748860	0.204	3810704.154375
2.752262	0.2041	3939939.761979
2.755662	0.204	3754015.015721
2.759063	0.2041	3683978.193093
2.762465	0.2041	3693432.067249
2.765865	0.204	3702445.774187
2.769267	0.2041	3703270.748456
2.772667	0.204	3612315.897525
2.776068	0.2041	3737376.246769
2.779470	0.2041	3856307.641129
2.782870	0.204	3780235.670166
2.786272	0.2041	3854122.183515
2.789673	0.2041	3911806.924069
2.793073	0.204	3852180.146208
2.796475	0.2041	3912472.555495
2.799875	0.204	3811070.524498
2.803277	0.2041	3692521.626908
2.806678	0.2041	3765044.819302
2.810078	0.204	3776328.606911
2.813480	0.2041	3899025.624605
2.816880	0.204	3873004.737868
2.820282	0.2041	3694210.947481
2.823683	0.2041	3780601.737221
2.827083	0.204	3766845.399546
2.830485	0.2041	3808176.281817
2.833885	0.204	4007631.770275
2.837287	0.2041	3997310.514955
2.840688	0.2041	3934286.200557
2.844088	0.204	3844675.555030
2.847490	0.2041	3663735.005600
2.850892	0.2041	3754304.781451
2.854292	0.204	3942119.439388
2.857693	0.2041	3899935.727430
2.861093	0.204	3868757.293251
2.864495	0.2041	3821299.856985
2.867897	0.2041	3779503.718596
2.871297	0.204	3759212.197238
2.874698	0.2041	3794473.265232
2.878098	0.204	3897517.041920
2.881500	0.2041	3890748.507673
2.884902	0.2041	3819295.531593
2.888302	0.204	3783329.843762
2.891703	0.2041	3944964.820209
2.895103	0.204	3937731.138300
2.898505	0.2041	3815055.445742
2.901907	0.2041	3905822.887708
2.905307	0.204	3905844.779903
2.908708	0.2041	3958585.801163
2.912110	0.2041	4005075.061159
2.915510	0.204	4034463.948939
2.918912	0.2041	3966398.400317
2.922312	0.204	3920994.985466
2.925713	0.2041	4005645.268597
2.929115	0.2041	3999020.971367
2.932515	0.204	4075715.505290
2.935917	0.2041	4034456.780670
2.939317	0.204	4021470.973239
2.942718	0.2041	3953774.715236
2.946120	0.2041	3823605.599052
2.949520	0.204	4066639.300195
2.952922	0.2041	4105904.228120
2.956322	0.204	3885166.235484
2.959723	0.2041	3894047.529902
2.963125	0.2041	3986051.569475
2.966525	0.204	4046814.949729
2.969927	0.2041	4148604.873863
2.973327	0.204	4123746.837376
