URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/936.smp/MS_F1_[366.0-366.3].channel/MS_F1_[366.0-366.3].chm
Channel	MS_F1_[366.0-366.3]

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	005c-H1F_conc
Number	6
Position	4
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:33:19 PM -05:00
Volume (µl)	3.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500587
Time Max. (min)	6.993328
Data Points	1322
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	aspuruguzik
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	371094.781250
Channel	MS_F1_[366.0-366.3]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406094

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
2.500587	n.a.	0.000000
2.503987	0.204	0.000000
2.507388	0.2041	0.000000
2.510790	0.2041	0.388617
2.514190	0.204	70.462357
2.517592	0.2041	0.000000
2.520992	0.204	0.000000
2.524393	0.2041	0.000000
2.527795	0.2041	0.000000
2.531195	0.204	0.000000
2.534597	0.2041	0.000000
2.537997	0.204	0.000000
2.541398	0.2041	6.841109
2.544800	0.2041	0.000000
2.548200	0.204	0.000000
2.551602	0.2041	0.000000
2.555002	0.204	0.000000
2.558403	0.2041	0.000000
2.561805	0.2041	0.000000
2.565205	0.204	0.000000
2.568607	0.2041	0.000000
2.572008	0.2041	59.329498
2.575408	0.204	0.000000
2.578810	0.2041	0.000000
2.582210	0.204	0.000000
2.585612	0.2041	7.251864
2.589013	0.2041	1554.546631
2.592413	0.204	1767.529175
2.595815	0.2041	0.000000
2.599215	0.204	0.000000
2.602617	0.2041	187.214310
2.606018	0.2041	0.000000
2.609418	0.204	0.000000
2.612820	0.2041	0.000000
2.616220	0.204	8.486808
2.619622	0.2041	0.000000
2.623023	0.2041	0.000000
2.626423	0.204	138.448166
2.629825	0.2041	156.166534
2.633225	0.204	0.289049
2.636627	0.2041	0.000000
2.640028	0.2041	0.000000
2.643428	0.204	168.079651
2.646830	0.2041	121.718925
2.650232	0.2041	1444.582520
2.653632	0.204	2569.304443
2.657033	0.2041	722.165894
2.660433	0.204	0.000000
2.663835	0.2041	0.000000
2.667237	0.2041	0.000000
2.670637	0.204	0.000000
2.674038	0.2041	0.000000
2.677438	0.204	517.951416
2.680840	0.2041	529.079834
2.684242	0.2041	0.000000
2.687642	0.204	0.000000
2.691043	0.2041	0.000000
2.694443	0.204	51.047138
2.697845	0.2041	143.911728
2.701247	0.2041	0.000000
2.704647	0.204	62.977032
2.708048	0.2041	5.874207
2.711450	0.2041	4.964768
2.714850	0.204	0.000000
2.718252	0.2041	0.000000
2.721652	0.204	2.310703
2.725053	0.2041	846.679321
2.728455	0.2041	1014.141235
2.731855	0.204	0.000000
2.735257	0.2041	0.000000
2.738657	0.204	94.993286
2.742058	0.2041	0.000000
2.745460	0.2041	0.000000
2.748860	0.204	0.000000
2.752262	0.2041	0.000000
2.755662	0.204	0.000000
2.759063	0.2041	0.000000
2.762465	0.2041	0.000000
2.765865	0.204	0.000000
2.769267	0.2041	0.000000
2.772667	0.204	0.000000
2.776068	0.2041	0.000000
2.779470	0.2041	0.000000
2.782870	0.204	0.000000
2.786272	0.2041	0.000000
2.789673	0.2041	0.000000
2.793073	0.204	1.405911
2.796475	0.2041	0.000000
2.799875	0.204	0.000000
2.803277	0.2041	0.000000
2.806678	0.2041	0.000000
2.810078	0.204	0.138789
2.813480	0.2041	0.000000
2.816880	0.204	0.000000
2.820282	0.2041	0.000000
2.823683	0.2041	1753.863647
2.827083	0.204	1971.708496
2.830485	0.2041	8.639846
2.833885	0.204	0.000000
2.837287	0.2041	293.689972
2.840688	0.2041	0.000000
2.844088	0.204	100.821144
2.847490	0.2041	0.000000
2.850892	0.2041	55.097248
2.854292	0.204	0.000000
2.857693	0.2041	0.000000
2.861093	0.204	0.000000
2.864495	0.2041	0.000000
2.867897	0.2041	0.000000
2.871297	0.204	0.000000
2.874698	0.2041	0.473393
2.878098	0.204	0.000000
2.881500	0.2041	0.000000
2.884902	0.2041	0.000000
2.888302	0.204	0.000000
2.891703	0.2041	0.016312
2.895103	0.204	135.193573
2.898505	0.2041	154.209839
2.901907	0.2041	0.000000
2.905307	0.204	0.000000
2.908708	0.2041	0.000000
2.912110	0.2041	649.228149
2.915510	0.204	1295.719849
2.918912	0.2041	629.709045
2.922312	0.204	0.000000
2.925713	0.2041	1539.539673
2.929115	0.2041	1606.547852
2.932515	0.204	0.000000
2.935917	0.2041	0.000000
2.939317	0.204	166.532547
2.942718	0.2041	0.000000
2.946120	0.2041	0.000000
2.949520	0.204	0.000000
2.952922	0.2041	7.667740
2.956322	0.204	0.000000
2.959723	0.2041	0.000000
2.963125	0.2041	1.239130
2.966525	0.204	0.000000
2.969927	0.2041	0.365562
2.973327	0.204	0.000000
2.976728	0.2041	0.032760
2.980130	0.2041	0.000000
2.983530	0.204	0.000000
2.986932	0.2041	0.008681
2.990333	0.2041	0.000000
2.993733	0.204	0.002109
2.997135	0.2041	0.000000
3.000535	0.204	0.000000
3.003937	0.2041	0.000000
3.007338	0.2041	0.000000
3.010738	0.204	0.000058
3.014140	0.2041	0.000000
3.017540	0.204	158.913239
3.020942	0.2041	1110.904785
3.024343	0.2041	1104.100098
3.027743	0.204	0.000000
3.031145	0.2041	0.000000
3.034545	0.204	0.000000
3.037947	0.2041	0.000000
3.041348	0.2041	1569.066528
3.044748	0.204	1828.060181
3.048150	0.2041	0.000000
3.051552	0.2041	0.000000
3.054952	0.204	191.712967
3.058353	0.2041	0.000000
3.061753	0.204	68.544495
3.065155	0.2041	0.000000
3.068557	0.2041	9.344268
3.071957	0.204	0.000000
3.075358	0.2041	0.000000
3.078758	0.204	1.863264
3.082160	0.2041	0.000000
3.085562	0.2041	0.411123
3.088962	0.204	0.000000
3.092363	0.2041	0.000000
3.095763	0.204	0.000000
3.099165	0.2041	0.000000
3.102567	0.2041	0.000000
3.105967	0.204	2877.105713
3.109368	0.2041	3264.907227
3.112768	0.204	0.000000
3.116170	0.2041	0.000000
3.119572	0.2041	328.219025
3.122972	0.204	0.000000
3.126373	0.2041	0.000000
3.129775	0.2041	0.000000
3.133175	0.204	0.000000
3.136577	0.2041	0.000000
3.139977	0.204	0.000000
3.143378	0.2041	0.000000
3.146780	0.2041	0.000000
3.150180	0.204	1068.244751
3.153582	0.2041	2673.961182
3.156982	0.204	1428.815186
3.160383	0.2041	0.000000
3.163785	0.2041	112.375549
3.167185	0.204	127.604568
3.170587	0.2041	17.332581
3.173987	0.204	0.000000
3.177388	0.2041	0.000000
3.180790	0.2041	0.000000
3.184190	0.204	0.000000
3.187592	0.2041	0.000000
3.190993	0.2041	0.000000
3.194393	0.204	0.000000
3.197795	0.2041	0.000000
3.201195	0.204	0.000000
3.204597	0.2041	0.000000
3.207998	0.2041	0.000000
3.211398	0.204	0.004227
3.214800	0.2041	0.019410
3.218200	0.204	0.000000
3.221602	0.2041	0.000000
3.225003	0.2041	0.000000
3.228403	0.204	0.000000
3.231805	0.2041	0.000000
3.235205	0.204	821.604431
3.238607	0.2041	937.133667
3.242008	0.2041	0.000000
3.245408	0.204	28.113050
3.248810	0.2041	89.534317
3.252210	0.204	0.000000
3.255612	0.2041	45.047283
3.259013	0.2041	0.000000
3.262413	0.204	0.000000
3.265815	0.2041	0.000000
3.269217	0.2041	0.000000
3.272617	0.204	10.379632
3.276018	0.2041	2267.062500
3.279418	0.204	2583.188721
3.282820	0.2041	0.000000
3.286222	0.2041	0.000000
3.289622	0.204	0.000000
3.293023	0.2041	0.000000
3.296423	0.204	264.152618
3.299825	0.2041	0.000000
3.303227	0.2041	0.000000
3.306627	0.204	0.000000
3.310028	0.2041	0.000000
3.313428	0.204	286.671143
3.316830	0.2041	575.447205
3.320232	0.2041	0.000000
3.323632	0.204	0.000000
3.327033	0.2041	716.512390
3.330435	0.2041	845.350708
3.333835	0.204	0.000000
3.337237	0.2041	0.000000
3.340637	0.204	0.000000
3.344038	0.2041	3.585779
3.347440	0.2041	33.702629
3.350840	0.204	3.977535
3.354242	0.2041	3.524391
3.357642	0.204	0.000000
3.361043	0.2041	0.000000
3.364445	0.2041	0.000000
3.367845	0.204	0.030143
3.371247	0.2041	0.188745
3.374647	0.204	0.000000
3.378048	0.2041	0.000000
3.381450	0.2041	0.000000
3.384850	0.204	0.000030
3.388252	0.2041	0.000000
3.391653	0.2041	0.000000
3.395053	0.204	0.001032
3.398455	0.2041	0.000000
3.401855	0.204	0.000000
3.405257	0.2041	0.000000
3.408658	0.2041	0.000000
3.412058	0.204	0.000000
3.415460	0.2041	0.000000
3.418860	0.204	0.000000
3.422262	0.2041	0.000000
3.425663	0.2041	0.000000
3.429063	0.204	0.000000
3.432465	0.2041	0.000000
3.435865	0.204	0.000000
3.439267	0.2041	0.000000
3.442668	0.2041	0.000000
3.446068	0.204	0.000000
3.449470	0.2041	0.000000
3.452870	0.204	1441.809204
3.456272	0.2041	306.149536
3.459673	0.2041	0.000000
3.463073	0.204	0.000000
3.466475	0.2041	32.406303
3.469877	0.2041	0.000000
3.473277	0.204	474.699310
3.476678	0.2041	2269.178955
3.480078	0.204	1900.708374
3.483480	0.2041	0.000000
3.486882	0.2041	0.000000
3.490282	0.204	286.444916
3.493683	0.2041	66.722755
3.497083	0.204	47.255093
3.500485	0.2041	0.000000
3.503887	0.2041	26.412951
3.507287	0.204	0.000000
3.510688	0.2041	0.000000
3.514088	0.204	0.000000
3.517490	0.2041	0.000000
3.520892	0.2041	702.235840
3.524292	0.204	815.273743
3.527693	0.2041	0.000000
3.531095	0.2041	0.000000
3.534495	0.204	84.936440
3.537897	0.2041	0.000000
3.541297	0.204	607.582092
3.544698	0.2041	0.000000
3.548100	0.2041	0.000000
3.551500	0.204	1.986918
3.554902	0.2041	45.544403
3.558302	0.204	0.000000
3.561703	0.2041	0.000000
3.565105	0.2041	0.000000
3.568505	0.204	3.116992
3.571907	0.2041	0.000000
3.575307	0.204	0.000000
3.578708	0.2041	0.706412
3.582110	0.2041	1499.011963
3.585510	0.204	0.000000
3.588912	0.2041	0.000000
3.592312	0.204	0.000000
3.595713	0.2041	177.396774
3.599115	0.2041	0.614725
3.602515	0.204	0.000000
3.605917	0.2041	0.000000
3.609318	0.2041	0.000000
3.612718	0.204	0.000000
3.616120	0.2041	0.000000
3.619520	0.204	0.715858
3.622922	0.2041	0.000000
3.626323	0.2041	0.000000
3.629723	0.204	1.060424
3.633125	0.2041	0.410325
3.636525	0.204	0.000000
3.639927	0.2041	0.000000
3.643328	0.2041	0.000000
3.646728	0.204	0.091606
3.650130	0.2041	0.000000
3.653530	0.204	0.001940
3.656932	0.2041	0.000000
3.660333	0.2041	2695.835449
3.663733	0.204	0.000000
3.667135	0.2041	825.371582
3.670537	0.2041	0.000000
3.673937	0.204	0.000000
