URL	chrom://isq7ci2006004/ChromeleonLocal/Instrument Data/Aspuru-Guzik/Stanley/2024_12_16_005c-H.seq/177.smp/MS_F1_[266.1-266.3].channel/MS_F1_[266.1-266.3].chm
Channel	MS_F1_[266.1-266.3]

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	aspuruguzik
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	0.000000
Signal Max.	7175986.500000
Channel	MS_F1_[266.1-266.3]
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.089047	0.204	0.000000
3.092448	0.2041	0.000000
3.095850	0.2041	0.000000
3.099250	0.204	0.000000
3.102652	0.2041	0.000000
3.106053	0.2041	0.000000
3.109453	0.204	0.000000
3.112855	0.2041	0.000000
3.116255	0.204	0.000000
3.119657	0.2041	0.000000
3.123058	0.2041	0.000000
3.126458	0.204	0.000000
3.129860	0.2041	14809.969727
3.133260	0.204	0.000000
3.136662	0.2041	0.000000
3.140063	0.2041	18612.689453
3.143463	0.204	0.000000
3.146865	0.2041	0.000000
3.150265	0.204	0.000000
3.153667	0.2041	0.000000
3.157068	0.2041	0.000000
3.160468	0.204	0.000000
3.163870	0.2041	0.000000
3.167272	0.2041	0.000000
3.170672	0.204	0.000000
3.174073	0.2041	0.000000
3.177473	0.204	0.000000
3.180875	0.2041	0.000000
3.184277	0.2041	0.000000
3.187677	0.204	0.000000
3.191078	0.2041	0.000000
3.194478	0.204	0.000000
3.197880	0.2041	0.000000
3.201282	0.2041	15149.754883
3.204682	0.204	0.000000
3.208083	0.2041	0.000000
3.211483	0.204	0.000000
3.214885	0.2041	0.000000
3.218287	0.2041	0.000000
3.221687	0.204	0.000000
3.225088	0.2041	0.000000
3.228488	0.204	0.000000
3.231890	0.2041	0.000000
3.235292	0.2041	0.000000
3.238692	0.204	0.000000
3.242093	0.2041	0.000000
3.245495	0.2041	0.000000
3.248895	0.204	0.000000
3.252297	0.2041	0.000000
3.255697	0.204	0.000000
3.259098	0.2041	0.000000
3.262500	0.2041	0.000000
3.265900	0.204	0.000000
3.269302	0.2041	0.000000
3.272702	0.204	0.000000
3.276103	0.2041	0.000000
3.279505	0.2041	0.000000
3.282905	0.204	28718.558594
3.286307	0.2041	0.000000
3.289707	0.204	0.000000
3.293108	0.2041	0.000000
3.296510	0.2041	0.000000
3.299910	0.204	0.000000
3.303312	0.2041	0.000000
3.306713	0.2041	24983.863281
3.310113	0.204	25946.791016
3.313515	0.2041	0.000000
3.316915	0.204	0.000000
3.320317	0.2041	0.000000
3.323718	0.2041	0.000000
3.327118	0.204	0.000000
3.330520	0.2041	0.000000
3.333920	0.204	0.000000
3.337322	0.2041	0.000000
3.340723	0.2041	0.000000
3.344123	0.204	0.000000
3.347525	0.2041	0.000000
3.350925	0.204	0.000000
3.354327	0.2041	0.000000
3.357728	0.2041	0.000000
3.361128	0.204	0.000000
3.364530	0.2041	0.000000
3.367932	0.2041	0.000000
3.371332	0.204	25370.804688
3.374733	0.2041	0.000000
3.378133	0.204	0.000000
3.381535	0.2041	0.000000
3.384937	0.2041	0.000000
3.388337	0.204	0.000000
3.391738	0.2041	0.000000
3.395138	0.204	0.000000
3.398540	0.2041	0.000000
3.401942	0.2041	0.000000
3.405342	0.204	0.000000
3.408743	0.2041	0.000000
3.412143	0.204	0.000000
3.415545	0.2041	0.000000
3.418947	0.2041	0.000000
3.422347	0.204	0.000000
3.425748	0.2041	0.000000
3.429148	0.204	0.000000
3.432550	0.2041	0.000000
3.435952	0.2041	0.000000
3.439352	0.204	0.000000
3.442753	0.2041	0.000000
3.446155	0.2041	0.000000
3.449555	0.204	0.000000
3.452957	0.2041	0.000000
3.456357	0.204	0.000000
3.459758	0.2041	0.000000
3.463160	0.2041	0.000000
