URL	chrom:TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024_12_16_005c-H
Name	PS_Dimer_conc
Number	5
Position	3
Comment	
Processing Method	Basic Quantitative
Instrument Method	2024_12_16_005c-H - Copy
Type	Unknown
Status	Finished
Inject Time	12/16/2024 3:19:27 PM -05:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	2.500672
Time Max. (min)	6.996815
Data Points	1323
Detector	MSDevice
Generating Data System	Chromeleon 7.3 Build 60919 (5efd55c28726aa174740e3ad3b435409b51aa6a1)
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	1228461.495667
Signal Max.	32525129.015537
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.204
Max. Step (s)	0.2041
Average Step (s)	0.20406097

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
3.044835	0.2041	6017275.894391
3.048235	0.204	6007211.950725
3.051637	0.2041	6240608.239583
3.055037	0.204	6173369.454195
3.058438	0.2041	6008970.817647
3.061840	0.2041	6079139.291716
3.065240	0.204	6126373.189565
3.068642	0.2041	6116708.531058
3.072042	0.204	6238987.660442
3.075443	0.2041	6240426.149079
3.078845	0.2041	6344280.356929
3.082245	0.204	6430425.805444
3.085647	0.2041	6439944.559518
3.089047	0.204	6402560.835033
3.092448	0.2041	6214656.393783
3.095850	0.2041	6213599.515309
3.099250	0.204	6422299.516799
3.102652	0.2041	6365138.386390
3.106053	0.2041	6253288.645650
3.109453	0.204	6401756.592149
3.112855	0.2041	6542163.854441
3.116255	0.204	6455028.569016
3.119657	0.2041	6175005.446508
3.123058	0.2041	6150124.427632
3.126458	0.204	6184318.128244
3.129860	0.2041	6107108.018469
3.133260	0.204	6195593.252283
3.136662	0.2041	6178740.758321
3.140063	0.2041	6184498.367579
3.143463	0.204	6273658.903478
3.146865	0.2041	5992471.364291
3.150265	0.204	6050557.705073
3.153667	0.2041	6407552.360146
3.157068	0.2041	6346418.542545
3.160468	0.204	6339224.661510
3.163870	0.2041	6257458.912450
3.167272	0.2041	6058619.807301
3.170672	0.204	6083828.869775
3.174073	0.2041	6032199.336861
3.177473	0.204	6152590.900194
3.180875	0.2041	6249798.447882
3.184277	0.2041	6054562.108053
3.187677	0.204	6243511.565306
3.191078	0.2041	6347639.574014
3.194478	0.204	6270391.826433
3.197880	0.2041	6252469.282301
3.201282	0.2041	6294584.074258
3.204682	0.204	6449888.518535
3.208083	0.2041	6212110.689133
3.211483	0.204	6227690.440734
3.214885	0.2041	6533222.351564
3.218287	0.2041	6435747.969408
3.221687	0.204	6353429.651700
3.225088	0.2041	6381299.102431
3.228488	0.204	6251760.556423
3.231890	0.2041	6169352.687922
3.235292	0.2041	6276248.888284
3.238692	0.204	6269142.838501
3.242093	0.2041	6203343.393385
3.245495	0.2041	6174070.116741
