Chromatogram RI	
X:	Y:
0.18833	-0.101
0.19000	-0.101
0.19167	-0.102
0.19333	-0.104
0.19500	-0.110
0.19667	-0.109
0.19833	-0.103
0.20000	-0.095
0.20167	-0.086
0.20333	-0.082
0.20500	-0.076
0.20667	-0.073
0.20833	-0.070
0.21000	-0.068
0.21167	-0.070
0.21333	-0.072
0.21500	-0.072
0.21667	-0.071
0.21833	-0.073
0.22000	-0.071
0.22167	-0.066
0.22333	-0.060
0.22500	-0.055
0.22667	-0.049
0.22833	-0.047
0.23000	-0.049
0.23167	-0.055
0.23333	-0.056
0.23500	-0.057
0.23667	-0.058
0.23833	-0.058
0.24000	-0.059
0.24167	-0.059
0.24333	-0.054
0.24500	-0.052
0.24667	-0.042
0.24833	-0.031
0.25000	-0.035
0.25167	-0.042
0.25333	-0.047
0.25500	-0.049
0.25667	-0.047
0.25833	-0.042
0.26000	-0.038
0.26167	-0.036
0.26333	-0.032
0.26500	-0.030
0.26667	-0.026
0.26833	-0.019
0.27000	-0.017
0.27167	-0.020
0.27333	-0.025
0.27500	-0.030
0.27667	-0.035
0.27833	-0.040
0.28000	-0.042
0.28167	-0.036
0.28333	-0.031
0.28500	-0.026
0.28667	-0.019
0.28833	-0.018
0.29000	-0.017
0.29167	-0.021
0.29333	-0.025
0.29500	-0.029
0.29667	-0.030
0.29833	-0.031
0.30000	-0.033
0.30167	-0.034
0.30333	-0.033
0.30500	-0.030
0.30667	-0.024
0.30833	-0.018
0.31000	-0.013
0.31167	-0.017
0.31333	-0.027
0.31500	-0.033
0.31667	-0.036
0.31833	-0.035
0.32000	-0.040
0.32167	-0.040
0.32333	-0.039
0.32500	-0.038
0.32667	-0.037
0.32833	-0.030
0.33000	-0.024
0.33167	-0.021
0.33333	-0.018
0.33500	-0.025
0.33667	-0.031
0.33833	-0.031
0.34000	-0.028
0.34167	-0.026
0.34333	-0.023
0.34500	-0.024
0.34667	-0.024
0.34833	-0.026
0.35000	-0.026
0.35167	-0.024
0.35333	-0.030
0.35500	-0.035
0.35667	-0.040
0.35833	-0.043
0.36000	-0.045
0.36167	-0.048
0.36333	-0.045
0.36500	-0.042
0.36667	-0.037
0.36833	-0.031
0.37000	-0.027
0.37167	-0.025
0.37333	-0.026
0.37500	-0.029
0.37667	-0.028
0.37833	-0.031
0.38000	-0.035
0.38167	-0.038
0.38333	-0.042
0.38500	-0.046
0.38667	-0.043
0.38833	-0.039
0.39000	-0.034
0.39167	-0.028
0.39333	-0.027
0.39500	-0.036
0.39667	-0.044
0.39833	-0.044
0.40000	-0.041
0.40167	-0.039
0.40333	-0.041
0.40500	-0.042
0.40667	-0.045
0.40833	-0.047
0.41000	-0.042
0.41167	-0.035
0.41333	-0.031
0.41500	-0.036
0.41667	-0.045
0.41833	-0.054
0.42000	-0.060
0.42167	-0.058
0.42333	-0.055
0.42500	-0.053
0.42667	-0.049
0.42833	-0.047
0.43000	-0.044
0.43167	-0.043
0.43333	-0.041
0.43500	-0.040
0.43667	-0.037
0.43833	-0.043
0.44000	-0.044
0.44167	-0.047
0.44333	-0.050
0.44500	-0.049
0.44667	-0.045
0.44833	-0.037
0.45000	-0.031
0.45167	-0.032
0.45333	-0.030
0.45500	-0.032
0.45667	-0.039
0.45833	-0.043
0.46000	-0.038
0.46167	-0.036
0.46333	-0.035
0.46500	-0.039
0.46667	-0.043
0.46833	-0.038
0.47000	-0.031
0.47167	-0.020
0.47333	-0.012
0.47500	-0.009
0.47667	-0.017
0.47833	-0.029
0.48000	-0.035
0.48167	-0.035
0.48333	-0.030
0.48500	-0.027
0.48667	-0.028
0.48833	-0.027
0.49000	-0.027
0.49167	-0.027
0.49333	-0.022
0.49500	-0.017
0.49667	-0.013
0.49833	-0.015
0.50000	-0.022
0.50167	-0.029
0.50333	-0.034
0.50500	-0.036
0.50667	-0.032
0.50833	-0.028
0.51000	-0.022
0.51167	-0.019
0.51333	-0.015
0.51500	-0.009
0.51667	-0.012
0.51833	-0.019
0.52000	-0.023
0.52167	-0.025
0.52333	-0.028
0.52500	-0.034
0.52667	-0.038
0.52833	-0.036
0.53000	-0.029
0.53167	-0.026
0.53333	-0.023
0.53500	-0.024
0.53667	-0.028
0.53833	-0.033
0.54000	-0.030
0.54167	-0.027
0.54333	-0.024
0.54500	-0.021
0.54667	-0.025
0.54833	-0.026
0.55000	-0.026
0.55167	-0.023
0.55333	-0.017
0.55500	-0.012
0.55667	-0.010
0.55833	-0.015
0.56000	-0.025
0.56167	-0.028
0.56333	-0.029
0.56500	-0.029
0.56667	-0.028
0.56833	-0.026
0.57000	-0.024
0.57167	-0.021
0.57333	-0.019
0.57500	-0.016
0.57667	-0.008
0.57833	-0.009
0.58000	-0.015
0.58167	-0.020
0.58333	-0.023
0.58500	-0.029
0.58667	-0.027
0.58833	-0.023
0.59000	-0.016
0.59167	-0.015
0.59333	-0.012
0.59500	-0.011
0.59667	-0.011
0.59833	-0.015
0.60000	-0.019
0.60167	-0.021
0.60333	-0.021
0.60500	-0.025
0.60667	-0.033
0.60833	-0.035
0.61000	-0.034
0.61167	-0.028
0.61333	-0.018
0.61500	-0.010
0.61667	-0.003
0.61833	-0.001
0.62000	-0.007
0.62167	-0.010
0.62333	-0.012
0.62500	-0.014
0.62667	-0.014
0.62833	-0.016
0.63000	-0.019
0.63167	-0.021
0.63333	-0.015
0.63500	-0.009
0.63667	-0.005
0.63833	-0.003
0.64000	-0.009
0.64167	-0.018
0.64333	-0.025
0.64500	-0.028
0.64667	-0.023
0.64833	-0.018
0.65000	-0.013
0.65167	-0.015
0.65333	-0.015
0.65500	-0.014
0.65667	-0.012
0.65833	-0.006
0.66000	-0.004
0.66167	-0.008
0.66333	-0.015
0.66500	-0.021
0.66667	-0.029
0.66833	-0.029
0.67000	-0.025
0.67167	-0.018
0.67333	-0.015
0.67500	-0.010
0.67667	-0.008
0.67833	-0.006
0.68000	-0.003
0.68167	-0.006
0.68333	-0.007
0.68500	-0.006
0.68667	-0.006
0.68833	-0.009
0.69000	-0.014
0.69167	-0.012
0.69333	-0.010
0.69500	-0.004
0.69667	0.002
0.69833	0.006
0.70000	0.006
0.70167	-0.002
0.70333	-0.009
0.70500	-0.011
0.70667	-0.010
0.70833	-0.007
0.71000	-0.008
0.71167	-0.013
0.71333	-0.014
0.71500	-0.011
0.71667	-0.002
0.71833	0.007
0.72000	0.016
0.72167	0.015
0.72333	0.010
0.72500	0.006
0.72667	0.002
0.72833	0.000
0.73000	0.004
0.73167	0.011
0.73333	0.014
0.73500	0.011
0.73667	0.005
0.73833	0.001
0.74000	0.006
0.74167	0.013
0.74333	0.013
0.74500	0.006
0.74667	0.000
0.74833	-0.006
0.75000	-0.010
0.75167	-0.008
0.75333	-0.002
0.75500	0.003
0.75667	0.008
0.75833	0.009
0.76000	0.009
0.76167	0.007
0.76333	0.003
0.76500	0.001
0.76667	-0.001
0.76833	-0.003
0.77000	-0.008
0.77167	-0.009
0.77333	-0.011
0.77500	-0.010
0.77667	-0.004
0.77833	0.003
0.78000	0.008
0.78167	0.008
0.78333	0.000
0.78500	-0.011
0.78667	-0.013
0.78833	-0.009
0.79000	-0.006
0.79167	-0.002
0.79333	-0.001
0.79500	-0.004
0.79667	-0.008
0.79833	-0.004
0.80000	0.006
0.80167	0.019
0.80333	0.021
0.80500	0.016
0.80667	0.007
0.80833	-0.003
0.81000	-0.005
0.81167	-0.004
0.81333	-0.001
