Chromatogram RI	
X:	Y:
1.46667	-0.004
1.46833	-0.011
1.47000	-0.011
1.47167	-0.008
1.47333	-0.004
1.47500	-0.004
1.47667	-0.003
1.47833	-0.002
1.48000	0.000
1.48167	0.007
1.48333	0.014
1.48500	0.019
1.48667	0.013
1.48833	0.004
1.49000	-0.005
1.49167	-0.013
1.49333	-0.014
1.49500	-0.011
1.49667	-0.007
1.49833	-0.003
1.50000	0.004
1.50167	0.004
1.50333	0.005
1.50500	0.006
1.50667	0.001
1.50833	-0.003
1.51000	-0.004
1.51167	-0.007
1.51333	-0.010
1.51500	-0.011
1.51667	-0.007
1.51833	-0.002
1.52000	0.003
1.52167	0.005
1.52333	0.009
1.52500	0.011
1.52667	0.003
1.52833	-0.007
1.53000	-0.009
1.53167	-0.007
1.53333	0.000
1.53500	0.002
1.53667	-0.003
1.53833	-0.004
1.54000	0.002
1.54167	0.008
1.54333	0.016
1.54500	0.023
1.54667	0.022
1.54833	0.013
1.55000	0.004
1.55167	0.000
1.55333	0.003
1.55500	0.006
1.55667	0.007
1.55833	0.009
1.56000	0.004
1.56167	0.004
1.56333	0.005
1.56500	0.011
1.56667	0.017
1.56833	0.016
1.57000	0.011
1.57167	0.001
1.57333	-0.007
1.57500	-0.010
1.57667	-0.008
1.57833	-0.005
1.58000	0.001
1.58167	0.006
1.58333	0.008
1.58500	0.009
1.58667	0.011
1.58833	0.008
1.59000	0.005
1.59167	-0.001
1.59333	0.000
1.59500	-0.002
1.59667	-0.002
1.59833	-0.001
1.60000	0.004
1.60167	0.012
1.60333	0.019
1.60500	0.026
1.60667	0.029
1.60833	0.022
1.61000	0.010
1.61167	0.004
1.61333	0.006
1.61500	0.007
1.61667	0.005
1.61833	0.000
1.62000	0.000
1.62167	-0.001
1.62333	0.001
1.62500	0.007
1.62667	0.012
1.62833	0.012
1.63000	0.004
1.63167	-0.006
1.63333	-0.009
1.63500	-0.002
1.63667	0.005
1.63833	0.009
1.64000	0.011
1.64167	0.010
1.64333	0.011
1.64500	0.014
1.64667	0.020
1.64833	0.021
1.65000	0.017
1.65167	0.016
1.65333	0.012
1.65500	0.003
1.65667	-0.002
1.65833	-0.004
1.66000	0.000
1.66167	0.002
1.66333	0.002
1.66500	0.000
1.66667	0.001
1.66833	0.001
1.67000	-0.001
1.67167	0.000
1.67333	0.002
1.67500	0.001
1.67667	-0.002
1.67833	-0.004
1.68000	-0.005
1.68167	-0.003
1.68333	0.002
1.68500	0.009
1.68667	0.017
1.68833	0.021
1.69000	0.017
1.69167	0.007
1.69333	-0.003
1.69500	0.000
1.69667	0.001
1.69833	0.006
1.70000	0.009
1.70167	0.008
1.70333	0.006
1.70500	0.006
1.70667	0.011
1.70833	0.017
1.71000	0.022
1.71167	0.018
1.71333	0.013
1.71500	0.008
1.71667	0.008
1.71833	0.009
1.72000	0.011
1.72167	0.012
1.72333	0.015
1.72500	0.018
1.72667	0.017
1.72833	0.020
1.73000	0.025
1.73167	0.016
1.73333	0.012
1.73500	0.008
1.73667	0.004
1.73833	0.000
1.74000	-0.002
1.74167	0.000
1.74333	0.005
1.74500	0.008
1.74667	0.014
1.74833	0.017
1.75000	0.020
1.75167	0.017
1.75333	0.012
1.75500	0.012
1.75667	0.015
1.75833	0.011
1.76000	0.010
1.76167	0.010
1.76333	0.010
1.76500	0.015
1.76667	0.021
1.76833	0.024
1.77000	0.027
1.77167	0.025
1.77333	0.018
1.77500	0.013
1.77667	0.012
1.77833	0.015
1.78000	0.020
1.78167	0.025
1.78333	0.025
1.78500	0.023
1.78667	0.027
1.78833	0.034
1.79000	0.040
1.79167	0.042
1.79333	0.034
1.79500	0.024
1.79667	0.014
1.79833	0.006
1.80000	0.000
1.80167	0.003
1.80333	0.011
1.80500	0.017
1.80667	0.020
1.80833	0.022
1.81000	0.022
1.81167	0.024
1.81333	0.025
1.81500	0.024
1.81667	0.022
1.81833	0.018
1.82000	0.012
1.82167	0.013
1.82333	0.017
1.82500	0.020
1.82667	0.024
1.82833	0.027
1.83000	0.029
1.83167	0.030
1.83333	0.026
1.83500	0.024
1.83667	0.023
1.83833	0.020
1.84000	0.019
1.84167	0.018
1.84333	0.016
1.84500	0.015
1.84667	0.017
1.84833	0.020
1.85000	0.024
1.85167	0.031
1.85333	0.034
1.85500	0.030
1.85667	0.020
1.85833	0.017
1.86000	0.019
1.86167	0.020
1.86333	0.019
1.86500	0.017
1.86667	0.017
1.86833	0.015
1.87000	0.017
1.87167	0.018
1.87333	0.024
1.87500	0.026
1.87667	0.021
1.87833	0.012
1.88000	0.007
1.88167	0.005
1.88333	0.007
1.88500	0.012
1.88667	0.017
1.88833	0.017
1.89000	0.017
1.89167	0.017
