Chromatogram RI	
X:	Y:
0.00000	0.001
0.00167	0.003
0.00333	0.012
0.00500	0.020
0.00667	0.023
0.00833	0.022
0.01000	0.020
0.01167	0.002
0.01333	-0.019
0.01500	-0.035
0.01667	-0.045
0.01833	-0.054
0.02000	-0.055
0.02167	-0.045
0.02333	-0.039
0.02500	-0.038
0.02667	-0.038
0.02833	-0.030
0.03000	-0.026
0.03167	-0.033
0.03333	-0.046
0.03500	-0.060
0.03667	-0.068
0.03833	-0.076
0.04000	-0.074
0.04167	-0.066
0.04333	-0.057
0.04500	-0.056
0.04667	-0.060
0.04833	-0.062
0.05000	-0.066
0.05167	-0.074
0.05333	-0.082
0.05500	-0.089
0.05667	-0.098
0.05833	-0.108
0.06000	-0.112
0.06167	-0.112
0.06333	-0.107
0.06500	-0.103
0.06667	-0.102
0.06833	-0.102
0.07000	-0.107
0.07167	-0.119
0.07333	-0.132
0.07500	-0.141
0.07667	-0.149
0.07833	-0.151
0.08000	-0.143
0.08167	-0.139
0.08333	-0.138
0.08500	-0.135
0.08667	-0.129
0.08833	-0.125
0.09000	-0.120
0.09167	-0.121
0.09333	-0.129
0.09500	-0.142
0.09667	-0.151
0.09833	-0.148
0.10000	-0.138
0.10167	-0.131
0.10333	-0.126
0.10500	-0.123
0.10667	-0.125
0.10833	-0.126
0.11000	-0.123
0.11167	-0.123
0.11333	-0.132
0.11500	-0.143
0.11667	-0.150
0.11833	-0.146
0.12000	-0.137
0.12167	-0.127
0.12333	-0.119
0.12500	-0.114
0.12667	-0.108
0.12833	-0.109
0.13000	-0.111
0.13167	-0.111
0.13333	-0.117
0.13500	-0.127
0.13667	-0.129
0.13833	-0.122
0.14000	-0.117
0.14167	-0.119
0.14333	-0.119
0.14500	-0.114
0.14667	-0.106
0.14833	-0.101
0.15000	-0.098
0.15167	-0.095
0.15333	-0.107
0.15500	-0.119
0.15667	-0.118
0.15833	-0.112
0.16000	-0.107
0.16167	-0.104
0.16333	-0.102
0.16500	-0.103
0.16667	-0.104
0.16833	-0.100
0.17000	-0.091
0.17167	-0.083
0.17333	-0.089
0.17500	-0.093
0.17667	-0.090
0.17833	-0.091
0.18000	-0.090
0.18167	-0.085
0.18333	-0.081
0.18500	-0.079
0.18667	-0.080
0.18833	-0.083
0.19000	-0.082
0.19167	-0.083
0.19333	-0.088
0.19500	-0.085
0.19667	-0.080
0.19833	-0.078
0.20000	-0.077
0.20167	-0.080
0.20333	-0.083
0.20500	-0.083
0.20667	-0.084
0.20833	-0.083
0.21000	-0.079
0.21167	-0.079
0.21333	-0.081
0.21500	-0.084
0.21667	-0.084
0.21833	-0.080
0.22000	-0.077
0.22167	-0.078
0.22333	-0.079
0.22500	-0.083
0.22667	-0.084
0.22833	-0.082
0.23000	-0.080
0.23167	-0.080
0.23333	-0.074
0.23500	-0.078
0.23667	-0.084
0.23833	-0.090
0.24000	-0.090
0.24167	-0.093
0.24333	-0.098
0.24500	-0.102
0.24667	-0.104
0.24833	-0.107
0.25000	-0.110
0.25167	-0.102
0.25333	-0.086
0.25500	-0.078
0.25667	-0.077
0.25833	-0.081
0.26000	-0.084
0.26167	-0.083
0.26333	-0.078
0.26500	-0.072
0.26667	-0.069
0.26833	-0.066
0.27000	-0.064
0.27167	-0.053
0.27333	-0.044
0.27500	-0.040
0.27667	-0.035
0.27833	-0.033
0.28000	-0.032
0.28167	-0.030
0.28333	-0.035
0.28500	-0.039
0.28667	-0.035
0.28833	-0.031
0.29000	-0.024
0.29167	-0.010
0.29333	0.000
0.29500	-0.004
0.29667	-0.008
0.29833	-0.012
0.30000	-0.017
0.30167	-0.013
0.30333	-0.012
0.30500	-0.013
0.30667	-0.020
0.30833	-0.021
0.31000	-0.011
0.31167	0.002
0.31333	0.013
0.31500	0.017
0.31667	0.009
0.31833	0.000
0.32000	-0.008
0.32167	-0.014
0.32333	-0.013
0.32500	-0.013
0.32667	-0.014
0.32833	-0.007
0.33000	0.003
0.33167	0.010
0.33333	0.017
0.33500	0.016
0.33667	0.012
0.33833	0.007
0.34000	-0.003
0.34167	-0.010
0.34333	-0.015
0.34500	-0.020
0.34667	-0.014
0.34833	-0.001
0.35000	0.009
0.35167	0.014
0.35333	0.019
