Chromatogram RI	
X:	Y:
1.31167	0.089
1.31333	0.094
1.31500	0.100
1.31667	0.102
1.31833	0.096
1.32000	0.088
1.32167	0.084
1.32333	0.080
1.32500	0.081
1.32667	0.084
1.32833	0.080
1.33000	0.077
1.33167	0.078
1.33333	0.083
1.33500	0.092
1.33667	0.098
1.33833	0.094
1.34000	0.089
1.34167	0.080
1.34333	0.071
1.34500	0.072
1.34667	0.076
1.34833	0.080
1.35000	0.083
1.35167	0.087
1.35333	0.089
1.35500	0.090
1.35667	0.094
1.35833	0.097
1.36000	0.091
1.36167	0.090
1.36333	0.088
1.36500	0.083
1.36667	0.078
1.36833	0.077
1.37000	0.081
1.37167	0.087
1.37333	0.091
1.37500	0.093
1.37667	0.093
1.37833	0.089
1.38000	0.081
1.38167	0.078
1.38333	0.078
1.38500	0.078
1.38667	0.079
1.38833	0.078
1.39000	0.076
1.39167	0.077
1.39333	0.085
1.39500	0.094
1.39667	0.103
1.39833	0.110
1.40000	0.101
1.40167	0.089
1.40333	0.081
1.40500	0.079
1.40667	0.081
1.40833	0.085
1.41000	0.084
1.41167	0.085
1.41333	0.083
1.41500	0.084
1.41667	0.090
1.41833	0.095
1.42000	0.095
1.42167	0.091
1.42333	0.080
1.42500	0.073
1.42667	0.070
1.42833	0.077
1.43000	0.085
1.43167	0.091
1.43333	0.093
1.43500	0.094
1.43667	0.092
1.43833	0.093
1.44000	0.100
1.44167	0.100
1.44333	0.098
1.44500	0.096
1.44667	0.092
1.44833	0.090
1.45000	0.087
1.45167	0.088
1.45333	0.089
1.45500	0.091
1.45667	0.092
1.45833	0.094
1.46000	0.096
1.46167	0.091
1.46333	0.087
1.46500	0.087
1.46667	0.089
1.46833	0.085
1.47000	0.084
1.47167	0.083
1.47333	0.081
1.47500	0.086
1.47667	0.090
1.47833	0.091
1.48000	0.093
1.48167	0.089
1.48333	0.075
1.48500	0.064
1.48667	0.062
1.48833	0.064
1.49000	0.067
1.49167	0.070
1.49333	0.071
1.49500	0.073
1.49667	0.074
1.49833	0.079
1.50000	0.085
1.50167	0.086
1.50333	0.080
1.50500	0.073
1.50667	0.066
1.50833	0.062
1.51000	0.062
1.51167	0.067
1.51333	0.075
1.51500	0.082
1.51667	0.086
1.51833	0.086
1.52000	0.085
1.52167	0.084
1.52333	0.080
1.52500	0.079
1.52667	0.077
1.52833	0.077
1.53000	0.077
1.53167	0.076
1.53333	0.079
1.53500	0.083
1.53667	0.088
1.53833	0.093
1.54000	0.098
1.54167	0.101
1.54333	0.099
1.54500	0.095
1.54667	0.095
1.54833	0.095
1.55000	0.098
1.55167	0.096
1.55333	0.092
1.55500	0.088
1.55667	0.088
1.55833	0.095
1.56000	0.104
1.56167	0.109
1.56333	0.106
1.56500	0.098
1.56667	0.088
1.56833	0.085
1.57000	0.086
1.57167	0.090
1.57333	0.090
1.57500	0.090
1.57667	0.088
1.57833	0.089
1.58000	0.092
1.58167	0.099
1.58333	0.104
1.58500	0.102
1.58667	0.097
1.58833	0.091
1.59000	0.086
1.59167	0.082
1.59333	0.086
1.59500	0.092
1.59667	0.096
1.59833	0.096
1.60000	0.100
1.60167	0.100
1.60333	0.099
1.60500	0.097
1.60667	0.098
1.60833	0.098
1.61000	0.099
1.61167	0.093
1.61333	0.092
1.61500	0.088
1.61667	0.088
1.61833	0.096
1.62000	0.104
1.62167	0.110
1.62333	0.115
1.62500	0.110
1.62667	0.102
1.62833	0.095
1.63000	0.094
1.63167	0.094
1.63333	0.094
1.63500	0.094
1.63667	0.094
1.63833	0.097
1.64000	0.102
1.64167	0.109
1.64333	0.116
1.64500	0.117
1.64667	0.112
1.64833	0.104
1.65000	0.095
1.65167	0.094
1.65333	0.096
1.65500	0.098
