Chromatogram RI	
X:	Y:
0.28000	-0.036
0.28167	-0.035
0.28333	-0.036
0.28500	-0.037
0.28667	-0.030
0.28833	-0.022
0.29000	-0.016
0.29167	-0.011
0.29333	-0.012
0.29500	-0.020
0.29667	-0.031
0.29833	-0.032
0.30000	-0.030
0.30167	-0.027
0.30333	-0.026
0.30500	-0.025
0.30667	-0.024
0.30833	-0.026
0.31000	-0.022
0.31167	-0.011
0.31333	-0.002
0.31500	0.000
0.31667	-0.005
0.31833	-0.011
0.32000	-0.013
0.32167	-0.015
0.32333	-0.014
0.32500	-0.017
0.32667	-0.018
0.32833	-0.014
0.33000	-0.014
0.33167	-0.014
0.33333	-0.011
0.33500	-0.007
0.33667	-0.006
0.33833	-0.012
0.34000	-0.020
0.34167	-0.028
0.34333	-0.033
0.34500	-0.034
0.34667	-0.030
0.34833	-0.023
0.35000	-0.013
0.35167	-0.007
0.35333	-0.006
0.35500	-0.007
0.35667	-0.013
0.35833	-0.016
0.36000	-0.018
0.36167	-0.015
0.36333	-0.015
0.36500	-0.018
0.36667	-0.022
0.36833	-0.021
0.37000	-0.020
0.37167	-0.014
0.37333	-0.010
0.37500	-0.006
0.37667	-0.010
0.37833	-0.022
0.38000	-0.029
0.38167	-0.031
0.38333	-0.028
0.38500	-0.025
0.38667	-0.024
0.38833	-0.025
0.39000	-0.023
0.39167	-0.022
0.39333	-0.014
0.39500	-0.005
0.39667	-0.002
0.39833	-0.008
0.40000	-0.015
0.40167	-0.022
0.40333	-0.024
0.40500	-0.023
0.40667	-0.017
0.40833	-0.015
0.41000	-0.010
0.41167	-0.010
0.41333	-0.011
0.41500	-0.012
0.41667	-0.011
0.41833	-0.011
0.42000	-0.011
0.42167	-0.012
0.42333	-0.017
0.42500	-0.021
0.42667	-0.025
0.42833	-0.025
0.43000	-0.019
0.43167	-0.017
0.43333	-0.014
0.43500	-0.008
0.43667	-0.005
0.43833	-0.006
0.44000	-0.010
0.44167	-0.012
0.44333	-0.018
0.44500	-0.021
0.44667	-0.021
0.44833	-0.023
0.45000	-0.024
0.45167	-0.024
0.45333	-0.020
0.45500	-0.015
0.45667	-0.010
0.45833	-0.010
0.46000	-0.016
0.46167	-0.023
0.46333	-0.029
0.46500	-0.031
0.46667	-0.028
0.46833	-0.026
0.47000	-0.028
0.47167	-0.028
0.47333	-0.026
0.47500	-0.018
0.47667	-0.009
0.47833	-0.002
0.48000	-0.007
0.48167	-0.013
0.48333	-0.018
0.48500	-0.024
0.48667	-0.024
0.48833	-0.020
0.49000	-0.014
0.49167	-0.011
0.49333	-0.009
0.49500	-0.009
0.49667	-0.009
0.49833	-0.002
0.50000	-0.002
0.50167	-0.003
0.50333	-0.008
0.50500	-0.014
0.50667	-0.021
0.50833	-0.026
0.51000	-0.025
0.51167	-0.020
0.51333	-0.013
0.51500	-0.007
0.51667	-0.005
0.51833	-0.001
0.52000	-0.005
0.52167	-0.010
0.52333	-0.013
0.52500	-0.012
0.52667	-0.011
0.52833	-0.011
0.53000	-0.015
