Chromatogram RI	
X:	Y:
0.38333	-0.033
0.38500	-0.034
0.38667	-0.033
0.38833	-0.034
0.39000	-0.039
0.39167	-0.042
0.39333	-0.043
0.39500	-0.046
0.39667	-0.051
0.39833	-0.061
0.40000	-0.068
0.40167	-0.067
0.40333	-0.064
0.40500	-0.062
0.40667	-0.060
0.40833	-0.059
0.41000	-0.070
0.41167	-0.082
0.41333	-0.089
0.41500	-0.092
0.41667	-0.092
0.41833	-0.093
0.42000	-0.095
0.42167	-0.098
0.42333	-0.099
0.42500	-0.093
0.42667	-0.088
0.42833	-0.085
0.43000	-0.090
0.43167	-0.098
0.43333	-0.105
0.43500	-0.110
0.43667	-0.111
0.43833	-0.109
0.44000	-0.104
0.44167	-0.101
0.44333	-0.098
0.44500	-0.096
0.44667	-0.099
0.44833	-0.096
0.45000	-0.100
0.45167	-0.105
0.45333	-0.107
0.45500	-0.106
0.45667	-0.108
0.45833	-0.108
0.46000	-0.103
0.46167	-0.100
0.46333	-0.098
0.46500	-0.095
0.46667	-0.089
0.46833	-0.082
0.47000	-0.078
0.47167	-0.082
0.47333	-0.081
0.47500	-0.079
0.47667	-0.082
0.47833	-0.081
0.48000	-0.079
0.48167	-0.079
0.48333	-0.074
0.48500	-0.071
0.48667	-0.067
0.48833	-0.058
0.49000	-0.051
0.49167	-0.051
0.49333	-0.058
0.49500	-0.067
0.49667	-0.069
0.49833	-0.068
0.50000	-0.063
0.50167	-0.063
0.50333	-0.065
0.50500	-0.067
0.50667	-0.066
0.50833	-0.058
0.51000	-0.049
0.51167	-0.044
0.51333	-0.049
0.51500	-0.056
0.51667	-0.063
0.51833	-0.066
0.52000	-0.068
0.52167	-0.060
0.52333	-0.054
0.52500	-0.049
0.52667	-0.051
0.52833	-0.052
0.53000	-0.055
0.53167	-0.051
0.53333	-0.050
0.53500	-0.050
0.53667	-0.052
0.53833	-0.054
0.54000	-0.054
0.54167	-0.056
0.54333	-0.052
0.54500	-0.046
0.54667	-0.045
0.54833	-0.043
0.55000	-0.039
0.55167	-0.038
0.55333	-0.044
0.55500	-0.048
0.55667	-0.048
0.55833	-0.047
0.56000	-0.044
0.56167	-0.045
0.56333	-0.046
0.56500	-0.047
0.56667	-0.045
0.56833	-0.040
0.57000	-0.036
0.57167	-0.033
0.57333	-0.038
0.57500	-0.047
0.57667	-0.053
0.57833	-0.056
0.58000	-0.058
0.58167	-0.058
0.58333	-0.056
0.58500	-0.051
0.58667	-0.049
0.58833	-0.046
0.59000	-0.042
0.59167	-0.035
0.59333	-0.034
0.59500	-0.039
0.59667	-0.045
0.59833	-0.053
0.60000	-0.060
0.60167	-0.061
0.60333	-0.057
0.60500	-0.054
0.60667	-0.051
0.60833	-0.053
0.61000	-0.055
0.61167	-0.054
0.61333	-0.053
0.61500	-0.049
0.61667	-0.048
0.61833	-0.047
0.62000	-0.050
0.62167	-0.054
0.62333	-0.055
0.62500	-0.055
0.62667	-0.051
0.62833	-0.047
0.63000	-0.043
0.63167	-0.039
0.63333	-0.036
0.63500	-0.045
0.63667	-0.052
0.63833	-0.050
0.64000	-0.049
0.64167	-0.046
0.64333	-0.047
0.64500	-0.047
0.64667	-0.045
0.64833	-0.040
0.65000	-0.038
0.65167	-0.033
0.65333	-0.027
0.65500	-0.028
0.65667	-0.035
0.65833	-0.042
0.66000	-0.042
0.66167	-0.038
0.66333	-0.032
0.66500	-0.027
0.66667	-0.024
0.66833	-0.025
0.67000	-0.026
0.67167	-0.026
0.67333	-0.023
0.67500	-0.019
0.67667	-0.024
0.67833	-0.030
0.68000	-0.035
0.68167	-0.043
0.68333	-0.045
0.68500	-0.041
0.68667	-0.036
0.68833	-0.030
0.69000	-0.028
0.69167	-0.026
0.69333	-0.025
0.69500	-0.024
0.69667	-0.025
0.69833	-0.027
0.70000	-0.030
0.70167	-0.032
0.70333	-0.037
0.70500	-0.042
0.70667	-0.047
0.70833	-0.041
0.71000	-0.032
0.71167	-0.027
0.71333	-0.026
0.71500	-0.024
0.71667	-0.026
0.71833	-0.033
0.72000	-0.038
0.72167	-0.040
0.72333	-0.040
0.72500	-0.037
0.72667	-0.038
0.72833	-0.039
0.73000	-0.037
0.73167	-0.034
0.73333	-0.029
0.73500	-0.024
0.73667	-0.023
0.73833	-0.029
0.74000	-0.042
0.74167	-0.050
0.74333	-0.053
0.74500	-0.051
0.74667	-0.050
0.74833	-0.047
0.75000	-0.041
0.75167	-0.044
0.75333	-0.044
0.75500	-0.035
0.75667	-0.026
0.75833	-0.026
0.76000	-0.032
0.76167	-0.042
0.76333	-0.049
0.76500	-0.048
0.76667	-0.045
0.76833	-0.039
0.77000	-0.036
0.77167	-0.031
0.77333	-0.030
0.77500	-0.024
0.77667	-0.023
0.77833	-0.029
0.78000	-0.033
0.78167	-0.039
0.78333	-0.044
0.78500	-0.045
0.78667	-0.048
0.78833	-0.048
0.79000	-0.046
0.79167	-0.039
0.79333	-0.036
0.79500	-0.033
0.79667	-0.027
0.79833	-0.030
0.80000	-0.040
0.80167	-0.049
0.80333	-0.052
0.80500	-0.051
0.80667	-0.048
0.80833	-0.048
0.81000	-0.046
0.81167	-0.048
0.81333	-0.044
0.81500	-0.038
0.81667	-0.031
0.81833	-0.028
0.82000	-0.036
0.82167	-0.046
0.82333	-0.057
0.82500	-0.059
0.82667	-0.051
0.82833	-0.043
0.83000	-0.036
0.83167	-0.032
0.83333	-0.032
0.83500	-0.032
0.83667	-0.030
0.83833	-0.025
0.84000	-0.026
0.84167	-0.029
0.84333	-0.031
0.84500	-0.037
0.84667	-0.041
0.84833	-0.045
0.85000	-0.046
0.85167	-0.044
0.85333	-0.040
0.85500	-0.033
0.85667	-0.034
0.85833	-0.041
0.86000	-0.047
0.86167	-0.049
0.86333	-0.049
0.86500	-0.047
0.86667	-0.045
0.86833	-0.046
0.87000	-0.052
0.87167	-0.054
0.87333	-0.053
0.87500	-0.048
0.87667	-0.039
0.87833	-0.029
0.88000	-0.031
0.88167	-0.039
0.88333	-0.048
0.88500	-0.053
0.88667	-0.048
0.88833	-0.043
0.89000	-0.046
0.89167	-0.048
0.89333	-0.050
0.89500	-0.049
0.89667	-0.045
0.89833	-0.034
0.90000	-0.025
0.90167	-0.029
0.90333	-0.038
0.90500	-0.048
0.90667	-0.055
0.90833	-0.053
0.91000	-0.048
0.91167	-0.045
0.91333	-0.046
0.91500	-0.046
0.91667	-0.042
0.91833	-0.037
0.92000	-0.030
0.92167	-0.033
0.92333	-0.036
0.92500	-0.041
0.92667	-0.045
0.92833	-0.050
0.93000	-0.052
0.93167	-0.048
0.93333	-0.042
0.93500	-0.038
0.93667	-0.031
0.93833	-0.024
0.94000	-0.022
0.94167	-0.029
0.94333	-0.033
0.94500	-0.037
0.94667	-0.039
0.94833	-0.040
0.95000	-0.043
0.95167	-0.044
0.95333	-0.046
0.95500	-0.048
0.95667	-0.046
0.95833	-0.040
0.96000	-0.036
0.96167	-0.036
0.96333	-0.041
0.96500	-0.048
0.96667	-0.053
0.96833	-0.050
0.97000	-0.043
0.97167	-0.039
0.97333	-0.037
0.97500	-0.035
0.97667	-0.038
0.97833	-0.034
0.98000	-0.029
0.98167	-0.023
0.98333	-0.023
0.98500	-0.029
0.98667	-0.036
0.98833	-0.042
0.99000	-0.047
0.99167	-0.045
0.99333	-0.040
0.99500	-0.033
0.99667	-0.029
0.99833	-0.031
1.00000	-0.034
1.00167	-0.036
1.00333	-0.039
1.00500	-0.039
1.00667	-0.036
1.00833	-0.039
1.01000	-0.044
1.01167	-0.048
1.01333	-0.050
1.01500	-0.046
1.01667	-0.041
1.01833	-0.037
1.02000	-0.031
1.02167	-0.029
1.02333	-0.034
1.02500	-0.043
1.02667	-0.045
1.02833	-0.043
1.03000	-0.039
1.03167	-0.042
1.03333	-0.044
1.03500	-0.047
1.03667	-0.050
1.03833	-0.047
1.04000	-0.042
1.04167	-0.040
1.04333	-0.035
1.04500	-0.039
1.04667	-0.043
1.04833	-0.049
1.05000	-0.048
1.05167	-0.045
1.05333	-0.043
1.05500	-0.044
1.05667	-0.043
1.05833	-0.043
1.06000	-0.046
1.06167	-0.042
1.06333	-0.033
1.06500	-0.036
1.06667	-0.040
1.06833	-0.044
1.07000	-0.049
1.07167	-0.052
1.07333	-0.049
1.07500	-0.043
1.07667	-0.039
1.07833	-0.039
1.08000	-0.041
1.08167	-0.039
1.08333	-0.036
1.08500	-0.038
1.08667	-0.037
1.08833	-0.034
1.09000	-0.037
1.09167	-0.043
1.09333	-0.045
1.09500	-0.047
1.09667	-0.044
1.09833	-0.040
1.10000	-0.036
1.10167	-0.030
1.10333	-0.024
1.10500	-0.026
1.10667	-0.036
1.10833	-0.041
1.11000	-0.042
1.11167	-0.043
1.11333	-0.040
1.11500	-0.039
1.11667	-0.041
1.11833	-0.042
1.12000	-0.043
1.12167	-0.040
1.12333	-0.029
1.12500	-0.023
1.12667	-0.033
1.12833	-0.045
1.13000	-0.051
1.13167	-0.053
1.13333	-0.052
1.13500	-0.050
1.13667	-0.048
1.13833	-0.051
1.14000	-0.051
1.14167	-0.049
1.14333	-0.046
1.14500	-0.038
1.14667	-0.039
1.14833	-0.043
1.15000	-0.046
1.15167	-0.050
1.15333	-0.052
1.15500	-0.052
1.15667	-0.048
1.15833	-0.041
1.16000	-0.037
1.16167	-0.036
1.16333	-0.038
1.16500	-0.037
1.16667	-0.036
1.16833	-0.041
1.17000	-0.048
1.17167	-0.047
1.17333	-0.045
1.17500	-0.046
1.17667	-0.046
1.17833	-0.049
1.18000	-0.044
1.18167	-0.036
1.18333	-0.029
1.18500	-0.028
1.18667	-0.034
1.18833	-0.045
1.19000	-0.053
1.19167	-0.056
1.19333	-0.057
1.19500	-0.055
1.19667	-0.052
1.19833	-0.049
1.20000	-0.048
1.20167	-0.047
1.20333	-0.045
1.20500	-0.039
1.20667	-0.036
1.20833	-0.038
1.21000	-0.043
