conversion_%,activation_energy_kJ_mol,r2,E_over_RT,ASTM_b
90,115.12786542598256,0.7838743975182817,19.298481141707907,0.47840303771658416
80,172.39799038783332,0.936558688671871,29.567738321637183,0.4629432261678363
70,173.24940317129,0.9553605563966833,30.150897394634516,0.4627641923448289
60,173.24763686410094,0.9657320900755105,30.549888672353717,0.4624051001948817
50,174.74883084963733,0.970660098077956,31.226736952221156,0.4617732630477789
40,179.65298399273908,0.9685807776315198,32.57578882425688,0.461
30,189.62701834900682,0.9615568706922427,35.01267291141761,0.4589873270885824
20,213.71912991993594,0.950685289426417,40.493061573342366,0.4554055507413261
10,248.42085747844754,0.9371829310523979,49.24840272431581,0.4518757986378421
